customer_id,last_purchase_date,frequency,monetary,recency,r_score,f_score,m_score,segment,clv,rfm_score
CUST000001,2024-07-26,1,453.36,157,5,1,1,Others,453.36,7
CUST000002,2022-02-01,3,1394.75,1063,2,4,2,At Risk,4184.25,8
CUST000003,2020-12-28,1,1206.85,1463,1,1,2,Others,1206.85,4
CUST000004,2024-06-17,3,2857.2400000000002,196,4,4,4,Champions,8571.720000000001,12
CUST000005,2023-03-31,1,1215.0,640,3,1,2,Others,1215.0,6
CUST000006,2024-04-25,4,2650.08,249,4,5,4,Champions,10600.32,13
CUST000007,2020-10-06,1,555.2,1546,1,1,1,Others,555.2,3
CUST000008,2024-11-07,3,4371.210000000001,53,5,4,5,Champions,13113.630000000003,14
CUST000009,2024-04-16,2,2480.0699999999997,258,4,2,4,Others,4960.139999999999,10
CUST000010,2024-11-19,2,1324.1200000000001,41,5,2,2,Others,2648.2400000000002,9
CUST000011,2024-10-25,3,3229.5,66,5,4,4,Champions,9688.5,13
CUST000012,2023-06-09,1,2329.36,570,3,1,4,Others,2329.36,8
CUST000014,2023-12-22,2,3573.7200000000003,374,4,2,5,Others,7147.4400000000005,11
CUST000015,2024-09-05,2,772.65,116,5,2,2,Others,1545.3,9
CUST000016,2023-08-25,2,550.16,493,3,2,1,Others,1100.32,6
CUST000017,2024-12-22,2,375.47,8,5,2,1,Others,750.94,8
CUST000018,2022-10-16,3,3489.24,806,2,4,5,At Risk,10467.72,11
CUST000019,2022-08-03,1,1331.5,880,2,1,2,Others,1331.5,5
CUST000020,2024-10-25,1,1320.65,66,5,1,2,Others,1320.65,8
CUST000021,2023-12-31,2,2234.25,365,4,2,4,Others,4468.5,10
CUST000022,2022-01-26,3,3731.1800000000003,1069,2,4,5,At Risk,11193.54,11
CUST000023,2024-02-01,1,1891.84,333,4,1,3,Others,1891.84,8
CUST000024,2022-05-10,1,814.56,965,2,1,2,Others,814.56,5
CUST000025,2023-06-05,2,737.87,574,3,2,2,Others,1475.74,7
CUST000026,2023-06-09,2,2267.29,570,3,2,4,Others,4534.58,9
CUST000027,2024-07-28,2,1988.66,155,5,2,3,Others,3977.32,10
CUST000029,2021-02-25,3,2345.85,1404,1,4,4,At Risk,7037.549999999999,9
CUST000030,2023-09-16,4,929.26,471,3,5,2,Loyal Customers,3717.04,10
CUST000031,2024-04-13,4,4945.0599999999995,261,4,5,5,Champions,19780.239999999998,14
CUST000032,2023-09-23,2,883.54,464,3,2,2,Others,1767.08,7
CUST000033,2021-08-06,2,657.87,1242,1,2,1,Others,1315.74,4
CUST000037,2023-11-26,2,3942.79,400,3,2,5,Others,7885.58,10
CUST000038,2022-07-18,2,1007.15,896,2,2,2,Others,2014.3,6
CUST000039,2024-12-22,2,127.64999999999999,8,5,2,1,Others,255.29999999999998,8
CUST000040,2021-04-20,1,224.64,1350,1,1,1,Others,224.64,3
